For the any given section in the artical ,
,
,
Section Name's,Top 5 words for that section
,
,
,
Section Name's,Top 5 words for that section
Automobiles, -- years -- kia -- miles -- hyundai -- warranties -- 
U.S., -- gross -- died -- war -- world -- said -- 
Job Market, -- living -- muslims -- driving -- sociology -- city -- 
Magazine, -- fog -- war -- sure -- said -- need -- 
Arts; Obituaries, -- rangel -- clinton -- night -- war -- harlem -- 
Business; Washington, -- monthly -- atlantic -- war -- one -- head -- 
Front Page; U.S., -- bushnell -- embassy -- united -- states -- teacup -- 
Arts; Books; Opinion, -- japanese -- attack -- wayne -- war -- troops -- 
Home and Garden; Style; Washington, -- jim -- force -- air -- charleston -- learned -- 
Movies; U.S.; Washington, -- war -- world -- entertainment -- hollywood -- different -- 
Technology; Opinion, -- flight -- dispute -- brothers -- patent -- wright -- 
Opinion, -- war -- one -- gross -- died -- know -- 
Arts; Opinion, -- buildings -- world -- victims -- people -- television -- 
Travel; Arts, -- beach -- park -- fort -- would -- structures -- 
Corrections; New York and Region, -- air -- gross -- jim -- force -- years -- 
Movies; U.S., -- war -- house -- industry -- wayne -- troops -- 
Movies; Business, -- make -- green -- first -- aisles -- harry -- 
Technology; Movies; Arts, -- visible -- hollywood -- one -- previously -- pitted -- 
Washington, -- afghanistan -- humanitarian -- workers -- american -- relief -- 
Business; Obituaries, -- mcnally -- building -- market -- listed -- street -- 
Arts; Books, -- war -- motivation -- one -- know -- computer -- 
Technology, -- listed -- building -- new -- market -- common -- 
World; Obituaries, -- washington -- later -- long -- war -- soviet -- 
Front Page; Corrections; Editors' Notes; New York and Region, -- prices -- war -- times -- oil -- world -- 
Technology; Job Market, -- computer -- new -- writing -- work -- home -- 
Paid Death Notices, -- war -- american -- available -- one -- chenin -- 
Business; Books, -- japan -- suggest -- disappears -- titles -- bad -- 
Front Page; U.S.; Washington, -- war -- computer -- world -- gross -- died -- 
World; Front Page; Washington, -- war -- american -- military -- afghanistan -- united -- 
World, -- war -- gross -- died -- also -- one -- 
Front Page; New York and Region, -- war -- monthly -- trade -- talks -- test -- 
None, -- war -- one -- country -- motivation -- know -- 
Sports, -- available -- years -- bears -- relatively -- even -- 
Front Page; Business, -- prices -- oil -- percent -- years -- exporter -- 
Technology; Science; Health, -- computer -- bid -- pay -- probably -- fast -- 
Movies; Arts, -- gross -- embassy -- teacup -- available -- died -- 
Technology; Business; Washington, -- hemerda -- set -- antiwar -- minivan -- hometown -- 
Arts; Theater, -- royal -- family -- britain -- fallen -- george -- 
Health; Opinion, -- president -- ideological -- home -- need -- higher -- 
Health, -- fever -- disease -- causing -- spread -- yellow -- 
Science; Movies; Opinion, -- visible -- one -- hollywood -- contained -- previously -- 
Science; Health, -- mendez -- center -- afternoons -- see -- energy -- 
Business, -- gross -- president -- visible -- one -- hollywood -- 
Health; U.S., -- endocrine -- society -- puberty -- girls -- urged -- 
Arts; Corrections; Editors' Notes, -- sources -- reuters -- news -- television -- war -- 
World; Washington; Books, -- inspired -- king -- tribes -- classic -- famous -- 
Front Page; U.S.; Washington; Books, -- rangel -- clinton -- flack -- harlem -- night -- 
Week in Review, -- war -- know -- one -- motivation -- terrorism -- 
Education; U.S., -- said -- center -- knoll -- new -- fire -- 
New York and Region, -- war -- monthly -- said -- american -- chenin -- 
World; Front Page, -- chenin -- blanc -- anyone -- said -- country -- 
Corrections; Washington; New York and Region, -- war -- motivation -- one -- know -- american -- 
Obituaries; New York and Region, -- ithaca -- said -- cornell -- hospice -- died -- 
Science; Opinion, -- bioterrorism -- war -- luke -- york -- civil -- 
Washington; Week in Review, -- war -- answer -- week -- got -- visible -- 
Technology; Science; Health; Washington, -- federal -- scientific -- nation -- scientists -- well -- 
Movies; Arts; Theater, -- play -- increasingly -- characters -- initially -- small -- 
Books, -- war -- osama -- television -- peter -- journalist -- 
U.S.; Obituaries, -- computer -- mcnally -- died -- andrew -- home -- 
Arts, -- computer -- bid -- war -- one -- states -- 
U.S.; Washington, -- gross -- died -- said -- afghanistan -- war -- 
Arts; Washington; Books, -- johnson -- beschloss -- war -- edited -- michael -- 
World; Washington, -- war -- available -- years -- american -- players -- 
Front Page; Washington; New York and Region, -- embassy -- teacup -- bushnell -- testimony -- ambassador -- 
Magazine; Opinion, -- war -- one -- motivation -- know -- spirit -- 
Home and Garden; Style, -- clinton -- rangel -- flack -- night -- harlem -- 
Dining and Wine; Style, -- chenin -- blanc -- sauvignon -- anyone -- respect -- 
